title,year,genres,avgRating,numRatings
The Hangover,2009,Comedy/Crime,3.63,76
The Dark Knight Rises,2012,Action/Adventure/Crime/IMAX,3.99,76
Lethal Weapon,1987,Action/Comedy/Crime/Drama,3.67,75
Run Lola Run (Lola rennt),1998,Action/Crime,4.0,75
Galaxy Quest,1999,Adventure/Comedy/Sci-Fi,3.58,75
High Fidelity,2000,Comedy/Drama/Romance,3.67,75
City of God (Cidade de Deus),2002,Action/Adventure/Crime/Drama/Thriller,4.15,75
The Bourne Supremacy,2004,Action/Crime/Thriller,3.79,75
Maverick,1994,Adventure/Comedy/Western,3.5,74
Liar Liar,1997,Comedy,3.03,74
Lost in Translation,2003,Comedy/Drama/Romance,4.03,74
The 40-Year-Old Virgin,2005,Comedy/Romance,3.55,74
Unbreakable,2000,Drama/Sci-Fi,3.48,73
Interstellar,2014,Sci-Fi/IMAX,3.99,73
Good; the Bad and the Ugly; The (Buono; il brutto; il cattivo; Il),1966,Action/Adventure/Western,4.15,72
Charlie's Angels,2000,Action/Comedy,2.72,72
Pirates of the Caribbean: Dead Man's Chest,2006,Action/Adventure/Fantasy,3.51,72
Ratatouille,2007,Animation/Children/Drama,3.87,72
Mary Poppins,1964,Children/Comedy/Fantasy/Musical,3.89,71
A Fish Called Wanda,1988,Comedy/Crime,3.92,71
Bruce Almighty,2003,Comedy/Drama/Fantasy/Romance,3.32,71
Harry Potter and the Goblet of Fire,2005,Adventure/Fantasy/Thriller/IMAX,3.82,71
Slumdog Millionaire,2008,Crime/Drama/Romance,3.81,71
Django Unchained,2012,Action/Drama/Western,3.94,71
The American President,1995,Comedy/Drama/Romance,3.67,70
Ed Wood,1994,Comedy/Drama,3.68,70
In the Line of Fire,1993,Action/Thriller,3.69,70
Scream,1996,Comedy/Horror/Mystery/Thriller,3.2,70
RoboCop,1987,Action/Crime/Drama/Sci-Fi/Thriller,3.37,70
Erin Brockovich,2000,Drama,3.53,70
Traffic,2000,Crime/Drama/Thriller,3.9,70
Robin Hood: Men in Tights,1993,Comedy,3.13,69
Citizen Kane,1941,Drama/Mystery,4.04,69
Young Frankenstein,1974,Comedy/Fantasy,3.99,69
Big Fish,2003,Drama/Fantasy/Romance,3.83,69
The Avengers,2012,Action/Adventure/Sci-Fi/IMAX,3.87,69
Pocahontas,1995,Animation/Children/Drama/Musical/Romance,3.15,68
Legends of the Fall,1994,Drama/Romance/War/Western,3.4,68
Die Hard 2,1990,Action/Adventure/Thriller,3.4,68
Grease,1978,Comedy/Musical/Romance,3.14,68
Honey; I Shrunk the Kids,1989,Adventure/Children/Comedy/Fantasy/Sci-Fi,2.76,68
The Patriot,2000,Action/Drama/War,3.45,68
The Royal Tenenbaums,2001,Comedy/Drama,3.68,68
Sense and Sensibility,1995,Drama/Romance,3.78,67
Dead Man Walking,1995,Crime/Drama,3.84,67
The Lost World: Jurassic Park,1997,Action/Adventure/Sci-Fi/Thriller,2.75,67
The Little Mermaid,1989,Animation/Children/Comedy/Musical/Romance,3.43,67
Enemy of the State,1998,Action/Thriller,3.49,67
Lock; Stock & Two Smoking Barrels,1998,Comedy/Crime/Thriller,4.05,67
Scarface,1983,Action/Crime/Drama,3.93,67
Shutter Island,2010,Drama/Mystery/Thriller,4.02,67
Desperado,1995,Action/Romance/Western,3.56,66
Philadelphia,1993,Drama,3.61,66
This Is Spinal Tap,1984,Comedy,4.02,66
School of Rock,2003,Comedy/Musical,3.4,66
Tombstone,1993,Action/Drama/Western,3.82,65
True Romance,1993,Crime/Thriller,3.8,65
Dragonheart,1996,Action/Adventure/Fantasy,3.09,65
The Untouchables,1987,Action/Crime/Drama,3.94,65
Bridget Jones's Diary,2001,Comedy/Drama/Romance,3.62,65
Austin Powers in Goldmember,2002,Comedy,2.85,65
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Comedy,3.35,65
Juno,2007,Comedy/Drama/Romance,3.77,65
District 9,2009,Mystery/Sci-Fi/Thriller,3.78,65
The Crow,1994,Action/Crime/Fantasy/Thriller,3.61,64
Eraser,1996,Action/Drama/Thriller,3.11,64
The Sound of Music,1965,Musical/Romance,3.94,64
The Sting,1973,Comedy/Crime,3.98,64
Rocky,1976,Drama,3.83,64
The Blair Witch Project,1999,Drama/Horror/Thriller,2.8,64
Miss Congeniality,2000,Comedy/Crime,3.05,64
Legally Blonde,2001,Comedy/Romance,3.16,64
Children of Men,2006,Action/Adventure/Drama/Sci-Fi/Thriller,3.95,64
No Country for Old Men,2007,Crime/Drama,3.9,64
Coneheads,1993,Comedy/Sci-Fi,2.42,63
Platoon,1986,Drama/War,3.98,63
The Rocky Horror Picture Show,1975,Comedy/Horror/Musical/Sci-Fi,3.34,63
Signs,2002,Horror/Sci-Fi/Thriller,3.17,63
Casper,1995,Adventure/Children,2.81,62
Judge Dredd,1995,Action/Crime/Sci-Fi,2.67,62
The Abyss,1989,Action/Adventure/Sci-Fi/Thriller,3.48,62
Butch Cassidy and the Sundance Kid,1969,Action/Western,3.94,62
Star Trek II: The Wrath of Khan,1982,Action/Adventure/Sci-Fi/Thriller,3.77,62
Sleepy Hollow,1999,Fantasy/Horror/Mystery/Romance,3.48,62
Animal House,1978,Comedy,3.69,62
Blazing Saddles,1974,Comedy/Western,3.94,62
The Last Samurai,2003,Action/Adventure/Drama/War,3.9,62
The Chronicles of Narnia: The Lion; the Witch and the Wardrobe,2005,Adventure/Children/Fantasy,3.44,62
I Am Legend,2007,Action/Horror/Sci-Fi/Thriller/IMAX,3.48,62
The Piano,1993,Drama/Romance,3.54,61
The Three Musketeers,1993,Action/Adventure/Comedy/Romance,3.26,61
Pleasantville,1998,Comedy/Drama/Fantasy,3.48,61
Superman,1978,Action/Adventure/Sci-Fi,3.61,61
Wayne's World,1992,Comedy,3.48,61
Predator,1987,Action/Sci-Fi/Thriller,3.58,61
Gone in 60 Seconds,2000,Action/Crime,3.22,61
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2),2002,Action/Comedy/Sci-Fi,2.96,61
I; Robot,2004,Action/Adventure/Sci-Fi/Thriller,3.49,61
Charlie and the Chocolate Factory,2005,Adventure/Children/Comedy/Fantasy/IMAX,3.0,61
Hot Fuzz,2007,Action/Comedy/Crime/Mystery,4.0,61
Hot Shots! Part Deux,1993,Action/Comedy/War,2.87,60
Pinocchio,1940,Animation/Children/Fantasy/Musical,3.45,60
Vertigo,1958,Drama/Mystery/Romance/Thriller,4.03,60
Batman Returns,1992,Action/Crime,3.02,60
The Mask of Zorro,1998,Action/Comedy/Romance,3.1,60
Close Encounters of the Third Kind,1977,Adventure/Drama/Sci-Fi,3.74,60
My Big Fat Greek Wedding,2002,Comedy/Romance,3.27,60
Beverly Hills Cop III,1994,Action/Comedy/Crime/Thriller,2.72,59
Brazil,1985,Fantasy/Sci-Fi,4.18,59
Chinatown,1974,Crime/Film-Noir/Mystery/Thriller,4.21,59
Grosse Pointe Blank,1997,Comedy/Crime/Romance,3.61,59
Con Air,1997,Action/Adventure/Thriller,3.03,59
My Cousin Vinny,1992,Comedy,3.26,59
Spaceballs,1987,Comedy/Sci-Fi,3.48,59
American Psycho,2000,Crime/Horror/Mystery/Thriller,3.79,59
The Italian Job,2003,Action/Crime,3.62,59
Love Actually,2003,Comedy/Drama/Romance,3.79,59
Mr. & Mrs. Smith,2005,Action/Adventure/Comedy/Romance,3.28,59
Star Trek,2009,Action/Adventure/Sci-Fi/IMAX,3.86,59
Guardians of the Galaxy,2014,Action/Adventure/Sci-Fi,4.05,59
Naked Gun 33 1/3: The Final Insult,1994,Action/Comedy,3.06,58
The Truth About Cats & Dogs,1996,Comedy/Romance,3.39,58
It's a Wonderful Life,1946,Children/Drama/Fantasy/Romance,4.03,58
To Kill a Mockingbird,1962,Drama,4.12,58
Annie Hall,1977,Comedy/Romance,3.87,58
Raising Arizona,1987,Comedy,3.99,58
Air Force One,1997,Action/Thriller,3.34,58
Blade,1998,Action/Horror/Thriller,3.36,58
Bowling for Columbine,2002,Documentary,3.78,58
28 Days Later,2002,Action/Horror/Sci-Fi,3.97,58
Wedding Crashers,2005,Comedy/Romance,3.51,58
Harry Potter and the Order of the Phoenix,2007,Adventure/Drama/Fantasy/IMAX,3.86,58
Harry Potter and the Half-Blood Prince,2009,Adventure/Fantasy/Mystery/Romance/IMAX,3.89,58
Sherlock Holmes,2009,Action/Crime/Mystery/Thriller,3.85,58
The King's Speech,2010,Drama,4.04,58
Congo,1995,Action/Adventure/Mystery/Sci-Fi,2.88,57
The Client,1994,Drama/Mystery/Thriller,3.39,57
North by Northwest,1959,Action/Adventure/Mystery/Romance/Thriller,4.18,57
12 Angry Men,1957,Drama,4.15,57
Cool Hand Luke,1967,Drama,4.27,57
The Goonies,1985,Action/Adventure/Children/Comedy/Fantasy,3.57,57
A Few Good Men,1992,Crime/Drama/Thriller,3.79,57
Crocodile Dundee,1986,Adventure/Comedy,3.18,57
Anchorman: The Legend of Ron Burgundy,2004,Comedy,3.77,57
The Social Network,2010,Drama,3.89,57
Wallace & Gromit: The Wrong Trousers,1993,Animation/Children/Comedy/Crime,4.04,56
Field of Dreams,1989,Children/Drama/Fantasy,3.52,56
The Full Monty,1997,Comedy/Drama,3.76,56
The Wedding Singer,1998,Comedy/Romance,3.42,56
Rushmore,1998,Comedy/Drama,3.54,56
Planet of the Apes,1968,Action/Drama/Sci-Fi,3.8,56
Election,1999,Comedy,3.66,56
Notting Hill,1999,Comedy/Romance,3.46,56
A.I. Artificial Intelligence,2001,Adventure/Drama/Sci-Fi,3.34,56
Pirates of the Caribbean: At World's End,2007,Action/Adventure/Comedy/Fantasy,3.44,56
From Dusk Till Dawn,1996,Action/Comedy/Horror/Thriller,3.51,55
City Slickers II: The Legend of Curly's Gold,1994,Adventure/Comedy/Western,2.65,55
Lady and the Tramp,1955,Animation/Children/Comedy/Romance,3.4,55
A Christmas Story,1983,Children/Comedy,3.97,55
Moulin Rouge,2001,Drama/Musical/Romance,3.59,55
The Others,2001,Drama/Horror/Mystery/Thriller,3.63,55
Gangs of New York,2002,Crime/Drama,3.52,55
Superbad,2007,Comedy,3.86,55
Toy Story 3,2010,Adventure/Animation/Children/Comedy/Fantasy/IMAX,4.11,55
Sabrina,1995,Comedy/Romance,3.19,54
First Knight,1995,Action/Drama/Romance,3.08,54
The Cable Guy,1996,Comedy/Thriller,2.81,54
Romancing the Stone,1984,Action/Adventure/Comedy/Romance,3.45,54
10 Things I Hate About You,1999,Comedy/Romance,3.53,54
What Women Want,2000,Comedy/Romance,3.14,54
Zoolander,2001,Comedy,3.51,54
Kung Fu Panda,2008,Action/Animation/Children/Comedy/IMAX,3.44,54
The Hunger Games,2012,Action/Adventure/Drama/Sci-Fi/Thriller,3.44,54
The Wolf of Wall Street,2013,Comedy/Crime/Drama,3.92,54
Deadpool,2016,Action/Adventure/Comedy/Sci-Fi,3.83,54
Johnny Mnemonic,1995,Action/Sci-Fi/Thriller,2.68,53
Last Action Hero,1993,Action/Adventure/Comedy/Fantasy,2.93,53
Space Jam,1996,Adventure/Animation/Children/Comedy/Fantasy/Sci-Fi,2.71,53
Fantasia,1940,Animation/Children/Fantasy/Musical,3.78,53
The Exorcist,1973,Horror/Mystery,3.8,53
The Jungle Book,1967,Animation/Children/Comedy/Musical,3.83,53
Arachnophobia,1990,Comedy/Horror,2.81,53
Wild Wild West,1999,Action/Comedy/Sci-Fi/Western,2.21,53
Eyes Wide Shut,1999,Drama/Mystery/Thriller,3.46,53
Goldfinger,1964,Action/Adventure/Thriller,3.84,53
Hook,1991,Adventure/Comedy/Fantasy,3.36,53
Best in Show,2000,Comedy,3.69,53
Blood Diamond,2006,Action/Adventure/Crime/Drama/Thriller/War,3.76,53
Zombieland,2009,Action/Comedy/Horror,3.88,53
How to Train Your Dragon,2010,Adventure/Animation/Children/Fantasy/IMAX,3.94,53
Grumpier Old Men,1995,Comedy/Romance,3.26,52
Disclosure,1994,Drama/Thriller,3.54,52
Donnie Brasco,1997,Crime/Drama,3.74,52
Chasing Amy,1997,Comedy/Drama/Romance,3.58,52
Magnolia,1999,Drama,3.71,52
Caddyshack,1980,Comedy,3.83,52
Mystic River,2003,Crime/Drama/Mystery,3.71,52
Million Dollar Baby,2004,Drama,3.85,52
X-Men: The Last Stand,2006,Action/Sci-Fi/Thriller,3.36,52
Knocked Up,2007,Comedy/Drama/Romance,3.65,52
The Grand Budapest Hotel,2014,Comedy/Drama,3.78,52
Bad Boys,1995,Action/Comedy/Crime/Drama/Thriller,3.25,51
Army of Darkness,1993,Action/Adventure/Comedy/Fantasy/Horror,4.04,51
The Devil's Advocate,1997,Drama/Mystery/Thriller,3.41,51
Splash,1984,Comedy/Fantasy/Romance,3.12,51
Blow,2001,Crime/Drama,3.81,51
Training Day,2001,Crime/Drama/Thriller,3.79,51
Mulholland Drive,2001,Crime/Drama/Film-Noir/Mystery/Thriller,3.84,51
Tommy Boy,1995,Comedy,3.78,50
